layer,fold,scope,best_loss,backbone_path,history_path
sup,0,fold_train,1.6930208206176758,outputs\phase3_octa_simclr\simclr_fold_train_fold0_sup_backbone.pt,outputs\phase3_octa_simclr\simclr_fold_train_fold0_sup_history.csv
deep,0,fold_train,1.9277088046073914,outputs\phase3_octa_simclr\simclr_fold_train_fold0_deep_backbone.pt,outputs\phase3_octa_simclr\simclr_fold_train_fold0_deep_history.csv
cc,0,fold_train,2.927428722381592,outputs\phase3_octa_simclr\simclr_fold_train_fold0_cc_backbone.pt,outputs\phase3_octa_simclr\simclr_fold_train_fold0_cc_history.csv
sup,1,fold_train,1.7539852857589722,outputs\phase3_octa_simclr\simclr_fold_train_fold1_sup_backbone.pt,outputs\phase3_octa_simclr\simclr_fold_train_fold1_sup_history.csv
deep,1,fold_train,1.8120267391204834,outputs\phase3_octa_simclr\simclr_fold_train_fold1_deep_backbone.pt,outputs\phase3_octa_simclr\simclr_fold_train_fold1_deep_history.csv
cc,1,fold_train,2.9060678482055664,outputs\phase3_octa_simclr\simclr_fold_train_fold1_cc_backbone.pt,outputs\phase3_octa_simclr\simclr_fold_train_fold1_cc_history.csv
sup,2,fold_train,1.8002082109451294,outputs\phase3_octa_simclr\simclr_fold_train_fold2_sup_backbone.pt,outputs\phase3_octa_simclr\simclr_fold_train_fold2_sup_history.csv
deep,2,fold_train,1.9747419357299805,outputs\phase3_octa_simclr\simclr_fold_train_fold2_deep_backbone.pt,outputs\phase3_octa_simclr\simclr_fold_train_fold2_deep_history.csv
cc,2,fold_train,2.694711446762085,outputs\phase3_octa_simclr\simclr_fold_train_fold2_cc_backbone.pt,outputs\phase3_octa_simclr\simclr_fold_train_fold2_cc_history.csv
sup,3,fold_train,1.542210578918457,outputs\phase3_octa_simclr\simclr_fold_train_fold3_sup_backbone.pt,outputs\phase3_octa_simclr\simclr_fold_train_fold3_sup_history.csv
deep,3,fold_train,2.0736905336380005,outputs\phase3_octa_simclr\simclr_fold_train_fold3_deep_backbone.pt,outputs\phase3_octa_simclr\simclr_fold_train_fold3_deep_history.csv
cc,3,fold_train,2.780647397041321,outputs\phase3_octa_simclr\simclr_fold_train_fold3_cc_backbone.pt,outputs\phase3_octa_simclr\simclr_fold_train_fold3_cc_history.csv
sup,4,fold_train,1.6104997992515564,outputs\phase3_octa_simclr\simclr_fold_train_fold4_sup_backbone.pt,outputs\phase3_octa_simclr\simclr_fold_train_fold4_sup_history.csv
deep,4,fold_train,2.007561683654785,outputs\phase3_octa_simclr\simclr_fold_train_fold4_deep_backbone.pt,outputs\phase3_octa_simclr\simclr_fold_train_fold4_deep_history.csv
cc,4,fold_train,2.6576861143112183,outputs\phase3_octa_simclr\simclr_fold_train_fold4_cc_backbone.pt,outputs\phase3_octa_simclr\simclr_fold_train_fold4_cc_history.csv
